age,income,visits,rating,engagement,location,product_type,season,target
39.0,90106.0,8.0,4.613277623614878,28.25,Suburban,D,Winter,5661.22
18.0,30000.0,10.0,3.2685009425301677,15.43,Urban,C,Spring,7187.4
39.0,30000.0,8.0,3.3183023818535355,4.36,Rural,D,Autumn,4068.43
30.0,49971.0,8.0,4.776076073455379,55.44,Rural,B,Summer,8348.5
27.0,30000.0,10.0,3.610010595579865,9.03,Rural,A,Spring,5050.97
42.0,30000.0,14.0,2.9391546384334024,49.26,Rural,D,Autumn,6479.19
47.0,79755.0,9.0,4.079370512615051,12.5,Urban,A,Autumn,5395.34
46.0,92780.0,11.0,2.8285376606360635,59.44,Urban,C,Autumn,8830.62
25.0,88826.0,6.0,2.3947152784509593,16.32,Urban,B,Winter,6110.11
31.0,104233.0,6.0,3.561755293150563,25.18,Urban,C,Spring,7750.2
39.0,111365.0,14.0,3.7169045183379303,30.41,Suburban,C,Spring,7698.26
47.0,30000.0,10.0,,31.83,Rural,C,Spring,7889.31
29.0,74997.0,7.0,4.52391990554741,54.95,Rural,D,Spring,7113.75
33.0,45945.0,14.0,3.5914191759267466,61.42,Rural,C,Spring,8949.74
22.0,41204.0,10.0,3.976258613486971,53.31,Urban,A,Summer,7621.66
21.0,79238.0,8.0,3.8973335940975993,22.12,Suburban,C,Autumn,7231.71
45.0,30000.0,9.0,4.135171133363494,30.27,Rural,B,Winter,6789.14
51.0,30000.0,9.0,3.810343919990268,35.04,Rural,A,Spring,6490.81
34.0,82190.0,4.0,3.893605302084215,25.48,Rural,B,Autumn,6713.11
47.0,76412.0,4.0,4.054310015618009,21.3,Suburban,B,Winter,6248.73
39.0,64111.0,8.0,3.847064503221351,22.06,Suburban,B,Summer,6683.16
27.0,38563.0,10.0,3.2233076792551163,58.13,Suburban,C,Summer,8855.17
39.0,86848.0,11.0,3.8659687364598634,69.62,Suburban,C,Winter,8858.3
53.0,84133.0,,4.108329826030538,51.5,Suburban,C,Summer,8724.46
35.0,62483.0,10.0,2.645551796324026,20.59,Rural,A,Autumn,5535.63
54.0,33234.0,7.0,4.6032902048985935,40.08,Suburban,D,Winter,6146.99
18.0,48406.0,6.0,4.390070036228209,34.56,Urban,C,Autumn,8200.41
45.0,91027.0,5.0,4.272493139679,23.12,Urban,D,Spring,5915.6
36.0,116261.0,8.0,3.8186600778985476,64.11,Rural,A,Winter,7304.02
31.0,50855.0,6.0,3.5646997783811583,25.07,Rural,D,Spring,5736.16
36.0,52847.0,4.0,3.788040764504128,52.21,Urban,B,Autumn,7974.76
18.0,55224.0,11.0,3.898335243539783,67.53,Suburban,B,Spring,8386.07
32.0,68696.0,,2.8594415320622937,28.21,Urban,D,Autumn,5857.49
39.0,44778.0,7.0,3.524858688724552,3.28,Suburban,A,Spring,4303.72
53.0,30000.0,10.0,3.1719169092541772,56.17,Rural,D,Spring,6892.07
29.0,108704.0,12.0,3.2111125761197488,37.63,Suburban,B,Summer,7369.55
25.0,146876.0,12.0,3.54737705692251,16.08,Suburban,A,Autumn,5339.33
29.0,44082.0,9.0,3.9957859797323394,24.31,Suburban,D,Winter,5397.75
46.0,35125.0,6.0,4.198774512994075,66.8,Rural,C,Spring,9176.71
39.0,55907.0,6.0,3.214346066002912,16.22,Suburban,C,Summer,7012.75
29.0,54516.0,3.0,3.581460770369856,51.38,Rural,B,Winter,7604.4
41.0,98495.0,4.0,4.063786095330985,24.77,Rural,D,Spring,5778.27
36.0,61532.0,10.0,3.6834516422466557,35.5,Rural,D,Winter,5935.39
47.0,40283.0,16.0,4.0072218001219975,30.4,Rural,D,Spring,6008.34
27.0,30971.0,5.0,,46.55,Urban,C,Summer,8690.43
31.0,92302.0,6.0,4.847052984821624,17.36,Urban,A,Winter,5756.55
30.0,80802.0,9.0,4.043184420370469,32.87,Urban,A,Winter,6406.11
18.0,101751.0,6.0,4.061203989740147,53.32,Rural,C,Spring,8818.54
39.0,36898.0,4.0,3.753269542714403,43.25,Suburban,A,Summer,6859.35
38.0,150124.0,7.0,4.289348584284336,52.49,Urban,A,Spring,7483.99
35.0,30000.0,8.0,2.700905011376357,25.75,Suburban,A,Winter,5559.89
32.0,85374.0,13.0,3.8522813066229737,18.18,Suburban,A,Autumn,5469.54
18.0,30000.0,7.0,4.137634913148381,44.83,Rural,A,Spring,7006.68
30.0,40329.0,8.0,4.384761587485273,19.64,Urban,D,Spring,5779.21
31.0,130681.0,7.0,3.498524778102851,33.26,Rural,C,Winter,7653.71
25.0,90734.0,5.0,3.944754804075018,20.54,Urban,D,Summer,5922.99
33.0,45565.0,6.0,3.973677704900971,24.16,Urban,C,Spring,7747.51
40.0,46193.0,8.0,3.980389789386377,38.01,Urban,C,Autumn,8213.32
58.0,62964.0,6.0,3.6099894150897827,35.24,Suburban,D,Winter,5808.36
37.0,77425.0,9.0,3.870076681024403,1.88,Rural,C,Winter,5456.13
38.0,111948.0,7.0,,,Rural,B,Winter,7832.97
34.0,47662.0,9.0,4.200464904544665,7.28,Rural,C,Winter,6184.41
18.0,30000.0,16.0,3.8474345178838942,47.83,Urban,C,Autumn,8624.38
35.0,64763.0,10.0,3.2430297398790615,23.49,Suburban,C,Autumn,7160.44
36.0,47633.0,11.0,3.8927119856629218,36.9,Suburban,D,Summer,6340.17
65.0,31247.0,2.0,3.9209569506841926,46.4,Urban,C,Autumn,8553.35
33.0,69483.0,6.0,2.629450088528427,66.16,Urban,D,Summer,7527.59
39.0,53822.0,8.0,3.7370965738137065,19.01,Rural,A,Winter,5429.07
35.0,69791.0,6.0,3.731768056273392,67.1,Urban,A,Winter,7567.39
21.0,38284.0,10.0,2.4535979571725894,7.69,Rural,A,Autumn,4672.2
49.0,76371.0,8.0,4.1657948436807155,32.99,Rural,C,Spring,7961.55
44.0,30991.0,7.0,3.467280681164983,32.77,Urban,C,Spring,8034.69
44.0,39582.0,3.0,3.0213754789371903,57.35,Rural,B,Spring,7958.81
24.0,53026.0,5.0,3.7001210885766205,33.17,Suburban,D,Autumn,5917.05
52.0,143044.0,13.0,4.376361659474631,40.54,Rural,D,Autumn,6398.38
18.0,88647.0,4.0,2.1286198674184003,53.37,Urban,D,Summer,7118.9
42.0,102600.0,11.0,4.155911461744059,44.69,Rural,B,Summer,7833.78
61.0,121606.0,12.0,2.9551360932853217,39.62,Rural,D,Winter,6034.89
23.0,200000.0,14.0,3.6899634628794535,25.62,Suburban,B,Summer,6930.48
28.0,61132.0,13.0,2.6638348088061212,44.02,Suburban,D,Summer,6493.71
36.0,121808.0,11.0,3.4896974819037196,26.3,Rural,B,Spring,6833.52
29.0,99341.0,4.0,4.155019243589508,,Suburban,D,Spring,6975.76
18.0,98520.0,6.0,4.0107359624532775,51.02,Urban,D,Summer,7265.15
36.0,145382.0,10.0,2.8121898701005588,46.77,Urban,C,Autumn,8430.38
22.0,48550.0,11.0,3.1286985800555893,24.75,Suburban,D,Autumn,5448.73
41.0,46661.0,4.0,2.91848172330724,21.56,Rural,C,Summer,7378.44
24.0,70255.0,4.0,2.2687844998167845,10.36,Rural,A,Summer,5159.16
54.0,54647.0,5.0,4.197223528385638,20.09,Rural,D,Autumn,5399.31
26.0,70210.0,7.0,3.7655202745054903,34.59,Rural,A,Summer,6667.22
31.0,130793.0,7.0,5.0,18.95,Rural,B,Autumn,6581.73
45.0,47142.0,8.0,4.145522720700464,34.27,Suburban,B,Summer,7300.4
20.0,51414.0,6.0,4.525383811557111,19.94,Urban,A,Autumn,6016.23
38.0,65327.0,9.0,3.5529992398322814,19.95,Urban,B,Autumn,6551.73
51.0,53415.0,10.0,4.171938612073952,26.41,Urban,C,Winter,7573.95
18.0,30000.0,6.0,4.060742773888224,28.66,Rural,B,Spring,7065.02
37.0,44799.0,14.0,3.7296727317281246,19.89,Rural,B,Spring,6514.55
38.0,84431.0,8.0,,12.12,Rural,A,Winter,5171.16
44.0,122857.0,6.0,3.7770677618249087,27.36,Suburban,D,Summer,5893.62
20.0,33614.0,6.0,4.999846569547656,11.71,Urban,B,Summer,6607.51
19.0,33535.0,9.0,4.51215567648427,28.14,Rural,A,Autumn,6234.63
41.0,60786.0,12.0,3.585912894366435,31.95,Rural,B,Spring,7072.14
39.0,30000.0,12.0,3.990917302511741,,Urban,A,Winter,6104.71
38.0,47931.0,7.0,3.0685518845034156,34.39,Urban,B,Summer,7462.53
39.0,30000.0,4.0,4.512259323452831,44.89,Rural,D,Spring,6707.26
27.0,118721.0,8.0,5.0,42.91,Urban,A,Winter,7010.22
38.0,40755.0,9.0,3.795409788292416,53.84,Rural,C,Spring,8714.5
39.0,136819.0,8.0,3.822331350101655,16.28,Urban,D,Autumn,5335.08
26.0,104481.0,11.0,3.7357880713269234,70.62,Suburban,D,Winter,7123.18
57.0,43340.0,7.0,3.638439716170593,34.31,Rural,B,Autumn,7056.34
41.0,35032.0,16.0,,32.63,Rural,B,Summer,7219.98
21.0,54351.0,8.0,3.4530269729328356,21.02,Suburban,D,Spring,5443.69
43.0,56822.0,5.0,3.5889992087442604,64.81,Urban,D,Autumn,7292.89
23.0,71188.0,9.0,3.907756199847325,59.56,Suburban,D,Winter,6804.56
44.0,40608.0,11.0,4.270942104323755,14.75,Rural,A,Winter,5237.84
49.0,86959.0,10.0,3.422047501860012,22.91,Suburban,D,Winter,5194.1
25.0,68368.0,9.0,3.6215797042271043,50.8,Urban,B,Autumn,7941.89
47.0,50504.0,,4.724525327407092,57.31,Suburban,C,Autumn,8734.49
40.0,41939.0,8.0,3.7959713112074005,10.71,Suburban,B,Summer,5959.15
45.0,54587.0,11.0,2.9120225055193187,35.27,Suburban,C,Autumn,7636.91
58.0,39797.0,6.0,4.076846907760229,23.08,Suburban,A,Winter,5607.85
32.0,61649.0,9.0,4.1260292159686385,12.47,Rural,B,Autumn,5994.46
26.0,62487.0,6.0,3.3427385892917716,25.25,Urban,B,Summer,7130.33
24.0,68245.0,6.0,3.894725482357677,16.81,Suburban,D,Winter,4981.05
25.0,144802.0,10.0,2.5690846394924582,77.42,Rural,D,Spring,7573.4
34.0,56038.0,8.0,3.3419545100568517,11.7,Urban,B,Winter,5871.08
39.0,98943.0,6.0,3.213899229463315,29.83,Rural,B,Summer,7092.94
38.0,67157.0,6.0,2.9580195908639464,3.56,Urban,B,Spring,5320.07
45.0,53150.0,8.0,4.1705646653091595,12.39,Urban,D,Spring,5242.55
35.0,56411.0,5.0,3.7074454937448267,33.27,Urban,B,Spring,7377.09
52.0,58139.0,11.0,3.815146949520529,16.79,Suburban,A,Autumn,5342.87
32.0,68864.0,11.0,3.7418624963677054,9.52,Urban,B,Summer,6189.39
68.0,37062.0,3.0,3.475610987205018,11.6,Rural,A,Spring,5240.67
43.0,30000.0,6.0,3.469419780827519,42.84,Suburban,C,Summer,8292.3
25.0,83046.0,,3.7539266009643772,7.26,Rural,C,Autumn,6293.17
22.0,93813.0,6.0,3.6272316376416316,44.5,Rural,C,Summer,8566.86
41.0,86926.0,13.0,4.3148116776333065,42.27,Rural,D,Winter,6297.69
32.0,64698.0,7.0,4.4909478158301495,13.15,Suburban,C,Summer,7032.67
44.0,87870.0,5.0,2.8698166632818527,31.0,Suburban,C,Winter,7319.42
41.0,85538.0,10.0,4.152184349172317,12.72,Urban,B,Winter,6045.91
34.0,88771.0,14.0,4.098065160232119,43.06,Rural,A,Winter,6611.17
25.0,38958.0,5.0,4.74011304889917,9.81,Urban,A,Winter,5232.76
18.0,34597.0,2.0,3.9322322729257646,16.69,Rural,B,Spring,6413.19
30.0,49302.0,6.0,3.8044054333912225,45.28,Urban,D,Winter,6560.22
45.0,59356.0,6.0,2.8850784507212945,51.77,Urban,D,Spring,6911.71
38.0,53053.0,9.0,4.079027857305868,29.98,Urban,A,Summer,6667.55
20.0,30000.0,12.0,2.4348387026371863,18.24,Suburban,C,Spring,6961.42
37.0,141612.0,11.0,3.351059372955159,85.02,Urban,A,Spring,8339.85
40.0,52207.0,10.0,3.9033998410063893,40.58,Rural,B,Winter,7213.48
24.0,65274.0,6.0,3.6221948571589437,24.69,Urban,A,Winter,5971.24
37.0,111555.0,12.0,3.2267998362365096,46.99,Urban,A,Winter,6829.62
36.0,30000.0,8.0,4.618112614523533,32.01,Suburban,D,Summer,6247.82
21.0,46358.0,8.0,3.1792657171916723,61.66,Suburban,C,Summer,8979.07
39.0,49338.0,10.0,4.1488050497224656,22.39,Suburban,D,Spring,5557.59
42.0,50607.0,8.0,3.904448288587422,43.45,Suburban,D,Summer,6583.64
48.0,54899.0,6.0,4.246421021327438,49.93,Urban,A,Autumn,7195.76
48.0,123447.0,6.0,4.388982220500129,31.65,Rural,D,Summer,6297.82
18.0,83845.0,7.0,3.719142552529932,42.62,Suburban,D,Autumn,6329.83
24.0,96666.0,4.0,3.3781340830515028,15.48,Urban,C,Summer,7346.62
41.0,61302.0,4.0,4.706656005500901,30.29,Suburban,B,Winter,6815.52
41.0,30000.0,12.0,5.0,15.04,Suburban,A,Spring,5577.52
41.0,30000.0,9.0,3.776828143550154,43.84,Rural,A,Winter,6551.48
70.0,30000.0,11.0,3.370623469003016,7.75,Urban,C,Autumn,6473.74
42.0,71674.0,9.0,2.8367669700783864,37.55,Suburban,B,Spring,7124.19
49.0,60833.0,7.0,4.579764740104626,21.07,Rural,A,Summer,6093.74
46.0,53902.0,6.0,2.8165998159398176,20.92,Urban,A,Autumn,5746.84
43.0,49797.0,9.0,4.343731792422108,20.58,Urban,C,Autumn,7447.14
31.0,163711.0,7.0,2.6611069400552165,40.44,Rural,D,Summer,6474.67
44.0,39678.0,5.0,2.269451806053804,37.61,Urban,A,Autumn,6469.46
26.0,95217.0,,4.903787835976881,4.93,Suburban,C,Winter,6012.8
32.0,59931.0,9.0,3.682972441275115,23.51,Suburban,A,Summer,6009.4
29.0,58077.0,7.0,2.4843212576530784,5.52,Urban,A,Summer,4920.96
36.0,107831.0,4.0,4.24393352526932,8.62,Suburban,D,Winter,4420.08
63.0,124401.0,5.0,4.557304587179941,33.68,Urban,D,Winter,6236.09
18.0,53116.0,11.0,3.905157145811945,32.36,Urban,D,Spring,6364.35
43.0,89286.0,4.0,4.3589364472188485,19.57,Urban,C,Winter,7262.78
18.0,71822.0,6.0,3.2406642132781136,14.06,Rural,D,Spring,5109.28
29.0,60097.0,6.0,3.784047258136565,32.72,Urban,D,Summer,6473.93
48.0,66312.0,5.0,3.5423910269384256,3.91,Suburban,A,Winter,4097.92
36.0,42446.0,9.0,3.5385099387618513,13.28,Rural,A,Autumn,5187.42
22.0,51377.0,8.0,4.007268992860421,17.54,Rural,D,Spring,5422.23
26.0,44787.0,8.0,3.7285413242317964,21.58,Rural,C,Summer,7538.44
43.0,93966.0,4.0,4.294460202772126,28.62,Urban,D,Summer,6337.94
26.0,57091.0,4.0,4.02954232866262,56.8,Rural,D,Autumn,6961.58
38.0,31293.0,10.0,3.8567294904227136,22.8,Urban,B,Spring,6887.85
36.0,41701.0,4.0,3.406852926511865,50.1,Rural,D,Winter,6453.9
27.0,30000.0,6.0,3.2405083641912604,24.04,Suburban,B,Summer,6741.01
61.0,46759.0,8.0,4.321815397207419,13.67,Rural,D,Spring,5182.09
43.0,61012.0,10.0,3.9414728624181743,42.14,Urban,C,Autumn,8361.98
18.0,55934.0,12.0,3.879264137155002,33.55,Rural,C,Autumn,7871.24
37.0,161148.0,6.0,2.8757274018795194,12.96,Suburban,B,Spring,5889.66
27.0,79814.0,6.0,,25.77,Rural,B,Autumn,6730.36
45.0,78059.0,7.0,4.274093777272276,41.37,Rural,D,Spring,6529.23
25.0,30000.0,10.0,4.468131075499565,27.75,Suburban,D,Spring,5927.09
34.0,49895.0,9.0,5.0,23.5,Suburban,D,Autumn,5649.94
41.0,46942.0,6.0,3.71861000038287,69.85,Suburban,D,Spring,7306.16
45.0,40415.0,,3.536981526302834,7.81,Urban,D,Summer,4921.33
21.0,40137.0,11.0,4.881545493464133,32.81,Rural,C,Summer,8282.74
31.0,30000.0,9.0,3.90798741499134,37.08,Urban,B,Spring,7570.94
29.0,31637.0,7.0,4.927192740548916,18.19,Suburban,B,Spring,6550.88
27.0,92693.0,7.0,3.696858320282135,17.24,Urban,C,Spring,7353.89
56.0,55745.0,6.0,,35.31,Urban,D,Summer,6638.84
40.0,46481.0,16.0,4.283805046474989,35.07,Urban,B,Spring,7526.51
20.0,59712.0,7.0,2.932531968539658,49.79,Suburban,D,Autumn,6475.06
46.0,107333.0,12.0,4.740539523723405,30.66,Suburban,D,Spring,6075.01
60.0,60000.0,7.0,3.5395246265997207,55.33,Rural,A,Spring,7246.25
47.0,78448.0,10.0,4.140267407510819,42.03,Urban,D,Spring,6727.95
18.0,39210.0,4.0,4.2961087399216265,17.11,Rural,C,Summer,7384.76
29.0,43945.0,10.0,3.466445360323263,27.45,Urban,C,Summer,7987.77
50.0,71467.0,7.0,3.1939877685221614,14.28,Rural,B,Summer,6226.75
27.0,154250.0,4.0,2.930146939214137,9.45,Urban,D,Winter,4645.25
40.0,122380.0,7.0,3.8792213206433206,33.0,Rural,A,Summer,6583.31
44.0,80131.0,9.0,4.085618769527072,23.26,Rural,D,Autumn,5555.93
24.0,64584.0,7.0,4.646375054960249,44.19,Rural,D,Autumn,6624.48
34.0,120636.0,11.0,2.7310520497205366,43.98,Urban,D,Autumn,6514.56
18.0,89084.0,7.0,4.704910559284684,78.24,Suburban,A,Summer,8245.71
23.0,30000.0,6.0,4.16673953105175,27.55,Suburban,B,Autumn,6783.3
32.0,35349.0,12.0,4.435794498329467,14.95,Rural,C,Winter,6821.06
20.0,70903.0,7.0,4.257508203569685,36.36,Suburban,A,Autumn,6454.55
55.0,30000.0,8.0,3.4425985471478913,55.2,Suburban,D,Spring,6794.59
18.0,38223.0,7.0,3.293804729708366,5.09,Urban,A,Autumn,4714.1
30.0,42196.0,8.0,3.562809539402059,24.61,Urban,C,Spring,7711.48
37.0,52676.0,10.0,4.622821837946761,27.02,Rural,C,Autumn,7644.05
52.0,51859.0,6.0,4.386444877600522,52.36,Rural,B,Spring,7995.38
18.0,51815.0,9.0,3.868156965624945,5.07,Urban,C,Autumn,6297.46
49.0,90459.0,2.0,4.2959894781304495,21.17,Urban,B,Spring,6868.37
35.0,52438.0,8.0,3.304217846387249,6.58,Urban,D,Winter,4382.95
23.0,49399.0,5.0,3.520674855307691,11.02,Suburban,B,Winter,5581.04
41.0,30498.0,12.0,4.379094008558638,49.84,Urban,C,Autumn,8714.09
37.0,99925.0,7.0,5.0,31.61,Urban,D,Summer,6617.85
28.0,42798.0,8.0,3.6789413509436235,30.29,Suburban,D,Spring,5909.97
36.0,34769.0,9.0,4.3252379777038765,37.56,Suburban,A,Autumn,6453.53
30.0,66606.0,10.0,2.953801851278325,19.34,Suburban,C,Winter,6775.39
36.0,40804.0,7.0,3.1757051019460656,75.64,Rural,D,Spring,7517.13
43.0,46029.0,7.0,3.403041439373215,19.96,Suburban,D,Winter,5019.81
54.0,68134.0,11.0,3.330762062389678,14.93,Urban,A,Summer,5737.85
20.0,50856.0,12.0,3.349568508848062,16.67,Rural,D,Winter,4992.33
61.0,190195.0,10.0,4.415206547687516,27.5,Suburban,D,Summer,6052.13
18.0,57675.0,8.0,3.211000652357553,51.73,Urban,C,Summer,8969.17
33.0,81546.0,13.0,3.7136416091852347,37.06,Suburban,A,Winter,6218.86
42.0,30000.0,3.0,4.057700980114382,21.41,Suburban,D,Winter,5200.21
38.0,38936.0,,4.137783952251265,17.1,Urban,B,Summer,6752.29
28.0,34771.0,6.0,3.905487944331395,27.42,Suburban,C,Winter,7326.26
33.0,37153.0,9.0,,39.12,Rural,A,Autumn,6577.61
29.0,73701.0,3.0,3.504312812614316,61.4,Suburban,C,Spring,8867.85
28.0,100487.0,8.0,3.5929096117501604,15.01,Urban,D,Autumn,5255.23
45.0,71134.0,8.0,3.067139059298926,19.61,Suburban,D,Spring,5243.1
39.0,53459.0,10.0,3.4448395733045474,16.51,Urban,B,Spring,6462.93
27.0,43677.0,4.0,4.836299042670485,29.19,Suburban,D,Winter,5781.63
46.0,104485.0,3.0,4.065762298086047,40.41,Urban,C,Autumn,8319.4
39.0,168658.0,4.0,3.0337459465043093,38.59,Urban,D,Spring,6479.67
45.0,64057.0,10.0,3.3615321487462833,19.2,Suburban,A,Winter,5278.83
43.0,95768.0,4.0,3.636189042729269,11.72,Suburban,B,Winter,5596.51
25.0,71089.0,6.0,2.985998134668171,32.19,Urban,B,Winter,6992.91
28.0,87356.0,6.0,3.7805610540187757,41.16,Urban,B,Summer,7891.87
44.0,33447.0,6.0,3.3749731126004368,20.82,Rural,A,Winter,5466.54
42.0,46907.0,12.0,4.025519696784498,2.11,Suburban,D,Winter,3608.98
35.0,72965.0,7.0,3.8028615252175797,27.55,Rural,A,Spring,6184.18
36.0,109781.0,9.0,4.1614728499979865,36.05,Suburban,D,Autumn,6084.09
50.0,39773.0,7.0,3.3419676759374912,21.16,Rural,B,Autumn,6366.32
28.0,30000.0,3.0,3.550740087517554,44.15,Urban,D,Summer,6903.23
42.0,46671.0,9.0,2.7063174058610517,33.96,Rural,C,Autumn,7660.92
33.0,99217.0,4.0,4.130760281984725,32.36,Urban,D,Summer,6514.24
32.0,30000.0,6.0,4.377580765835176,56.17,Rural,D,Summer,7244.03
48.0,33241.0,6.0,2.885475318180121,37.22,Rural,C,Winter,7668.96
45.0,64729.0,11.0,2.9721633915833316,20.19,Rural,A,Spring,5668.84
45.0,56501.0,3.0,4.128079721412702,26.32,Suburban,C,Summer,7686.94
51.0,80598.0,10.0,4.036436893898703,47.71,Suburban,A,Winter,6648.8
35.0,32391.0,12.0,3.289772931147094,33.04,Urban,B,Autumn,7159.72
43.0,50895.0,,3.5678309324945765,25.58,Rural,A,Winter,5741.92
31.0,108835.0,11.0,3.6226561339677876,7.53,Rural,A,Spring,4921.01
39.0,32977.0,8.0,4.705885511648526,24.14,Suburban,C,Autumn,7401.29
33.0,125299.0,11.0,4.348274504750474,16.28,Suburban,B,Winter,6047.73
36.0,35112.0,6.0,4.349258135091201,32.4,Suburban,C,Autumn,7741.43
42.0,91555.0,8.0,4.015224920193767,25.91,Rural,B,Spring,6867.43
25.0,49688.0,10.0,4.701249884317067,34.0,Urban,D,Autumn,6413.69
60.0,33777.0,8.0,3.1190904433170057,32.19,Rural,A,Spring,6297.03
23.0,46702.0,8.0,4.454452588093384,34.58,Suburban,D,Spring,6240.04
20.0,78627.0,4.0,3.8539486789584716,35.96,Urban,A,Autumn,6681.26
49.0,59669.0,5.0,3.4880602599570385,44.11,Suburban,A,Summer,6846.31
44.0,104740.0,6.0,3.5371957557520566,13.67,Urban,B,Autumn,6153.28
42.0,122746.0,15.0,3.235902698907477,21.78,Urban,C,Spring,7503.01
43.0,33140.0,8.0,4.487166354291718,35.91,Urban,C,Summer,8473.95
35.0,31948.0,7.0,4.112338352921783,27.9,Suburban,C,Winter,7356.85
24.0,31182.0,5.0,2.999271394563116,71.82,Rural,A,Autumn,7579.58
36.0,38193.0,10.0,2.662141553252541,16.47,Suburban,C,Winter,6548.39
27.0,103996.0,9.0,4.269736554687216,25.2,Urban,D,Autumn,5943.78
47.0,79236.0,11.0,3.7454611217519744,16.52,Urban,D,Autumn,5315.69
33.0,45592.0,6.0,3.326382139536656,6.83,Suburban,D,Spring,4394.72
25.0,59543.0,7.0,3.7127865726209333,9.69,Rural,C,Winter,6351.1
31.0,120832.0,7.0,4.1329695217368,,Urban,D,Summer,6672.13
40.0,155438.0,9.0,4.065047483852776,77.31,Urban,B,Summer,9116.62
28.0,68165.0,,3.4692632998081283,15.17,Suburban,A,Spring,5376.26
25.0,30000.0,8.0,2.995823947568065,38.13,Rural,C,Spring,8065.97
38.0,69470.0,13.0,3.859656412418335,21.45,Suburban,A,Summer,5907.42
38.0,95547.0,10.0,4.378407172079963,34.92,Rural,A,Spring,6602.87
29.0,66991.0,1.0,4.513427007859198,44.42,Suburban,C,Winter,8157.46
