age,income,engagement_score,visits_per_month,time_on_site,interaction_rate,location,device_type,membership,target
18.0,54641.0,,,7.06,,Urban,Desktop,Silver,no
27.0,20000.0,,,13.58,,Rural,Mobile,Free,yes
23.0,102405.0,,,0.5,,Urban,Desktop,Free,no
46.0,20000.0,,,0.5,,Rural,Mobile,Silver,yes
18.0,131755.0,,,6.15,,Urban,Mobile,Free,no
24.0,20000.0,,,0.5,,Urban,Desktop,Gold,no
18.0,30453.0,,,7.96,,Urban,Mobile,Free,yes
38.0,48771.0,,,0.5,,Urban,Mobile,Silver,no
28.0,54657.0,,,0.5,,Suburban,Mobile,Silver,no
29.0,22292.0,,,0.66,,Urban,Mobile,Silver,no
29.0,20000.0,,,0.5,,Suburban,Mobile,Free,no
18.0,91008.0,,,0.5,,Rural,Desktop,Free,no
18.0,23039.0,,,2.68,,Suburban,Mobile,Free,yes
22.0,20000.0,,,14.4,,Suburban,Mobile,Gold,yes
27.0,65976.0,,,11.24,,Urban,Desktop,Free,yes
22.0,20000.0,,,0.5,,Urban,Mobile,Gold,no
29.0,103695.0,,,2.19,,Urban,Mobile,Free,no
28.0,20000.0,,,0.5,,Urban,Tablet,Gold,no
50.0,117688.0,,,25.69,,Suburban,Mobile,Free,yes
60.0,100139.0,,,20.33,,Urban,Mobile,Free,yes
34.0,83484.0,,,0.5,,Rural,Mobile,Free,no
32.0,72905.0,,,4.02,,Suburban,Desktop,Silver,yes
18.0,89754.0,,,0.5,,Suburban,Tablet,Free,no
41.0,140645.0,,,24.75,,Rural,Mobile,Silver,yes
18.0,144331.0,,,9.21,,Urban,Desktop,Free,no
24.0,20000.0,,,0.5,,Rural,Mobile,Silver,no
27.0,23290.0,,,6.8,,Suburban,Desktop,Free,yes
21.0,110491.0,,,4.57,,Urban,Desktop,Silver,no
34.0,47373.0,,,0.5,,Suburban,Mobile,Free,no
60.0,116795.0,,,24.98,,Urban,Tablet,Free,yes
18.0,98011.0,,,0.5,,Suburban,Mobile,Free,no
18.0,20000.0,,,4.32,,Urban,Mobile,Gold,no
23.0,111430.0,,,8.85,,Rural,Mobile,Gold,no
18.0,122352.0,,,5.05,,Suburban,Mobile,Free,no
18.0,21239.0,,,0.5,,Suburban,Mobile,Platinum,yes
18.0,62963.0,,,0.5,,Urban,Desktop,Platinum,no
27.0,44236.0,,,7.97,,Rural,Mobile,Silver,no
40.0,80221.0,,,9.94,,Rural,Mobile,Silver,no
18.0,56895.0,,,9.2,,Suburban,Mobile,Free,no
25.0,69373.0,,,10.13,,Urban,Mobile,Gold,no
26.0,37578.0,,,5.82,,Rural,Mobile,Gold,yes
19.0,20160.0,,,5.45,,Suburban,Mobile,Silver,no
29.0,72099.0,,,0.5,,Rural,Mobile,Gold,no
18.0,112239.0,,,0.57,,Urban,Desktop,Gold,no
35.0,55699.0,,,4.4,,Urban,Mobile,Silver,no
18.0,20000.0,,,4.91,,Suburban,Desktop,Free,no
27.0,58810.0,,,7.78,,Rural,Mobile,Free,no
18.0,20000.0,,,2.96,,Urban,Mobile,Silver,yes
22.0,39405.0,,,6.35,,Rural,Desktop,Free,no
18.0,138624.0,,,12.78,,Urban,Desktop,Platinum,no
31.0,20000.0,,,0.5,,Suburban,Mobile,Free,no
31.0,56736.0,,,6.92,,Urban,Desktop,Free,no
18.0,131861.0,,,8.1,,Urban,Mobile,Free,no
18.0,20000.0,,,0.5,,Rural,Mobile,Gold,no
27.0,48211.0,,,4.62,,Suburban,Mobile,Free,yes
44.0,90870.0,,,18.27,,Urban,Mobile,Free,yes
19.0,42705.0,,,8.19,,Suburban,Desktop,Free,yes
65.0,59433.0,,,22.18,,Urban,Mobile,Silver,yes
18.0,68234.0,,,0.5,,Suburban,Desktop,Silver,no
36.0,63544.0,,,1.92,,Suburban,Tablet,Silver,no
18.0,43466.0,,,9.5,,Urban,Mobile,Free,no
21.0,49107.0,,,9.17,,Urban,Tablet,Silver,no
26.0,20000.0,,,0.5,,Rural,Desktop,Free,no
18.0,20000.0,,,5.88,,Urban,Mobile,Silver,no
18.0,20000.0,,,1.75,,Urban,Tablet,Silver,no
24.0,20000.0,,,3.05,,Suburban,Mobile,Gold,no
18.0,53111.0,,,10.71,,Urban,Mobile,Silver,no
24.0,37634.0,,,3.53,,Urban,Mobile,Silver,no
19.0,28505.0,,,2.47,,Rural,Mobile,Free,no
38.0,41781.0,,,3.47,,Urban,Mobile,Silver,yes
18.0,25658.0,,,5.26,,Urban,Mobile,Silver,no
35.0,20000.0,,,0.5,,Suburban,Mobile,Free,no
36.0,72150.0,,,0.5,,Urban,Desktop,Silver,no
18.0,20000.0,,,2.09,,Urban,Desktop,Silver,no
20.0,104025.0,,,4.79,,Suburban,Mobile,Free,no
18.0,101762.0,,,0.5,,Suburban,Mobile,Free,no
19.0,20000.0,,,4.08,,Rural,Mobile,Free,no
30.0,125496.0,,,5.64,,Rural,Desktop,Free,no
18.0,61076.0,,,0.5,,Urban,Mobile,Silver,no
18.0,130184.0,,,7.66,,Rural,Mobile,Gold,no
18.0,30257.0,,,5.21,,Urban,Mobile,Silver,no
29.0,159007.0,,,15.54,,Suburban,Mobile,Free,yes
49.0,129375.0,,,34.43,,Suburban,Desktop,Silver,yes
18.0,20000.0,,,0.5,,Rural,Mobile,Free,no
18.0,20000.0,,,0.5,,Suburban,Mobile,Silver,no
42.0,86095.0,,,4.0,,Suburban,Desktop,Free,no
37.0,92231.0,,,5.24,,Rural,Mobile,Platinum,no
18.0,92586.0,,,0.5,,Rural,Desktop,Free,no
33.0,72903.0,,,12.7,,Rural,Mobile,Free,no
18.0,116735.0,,,1.81,,Rural,Mobile,Silver,no
37.0,20000.0,,,0.5,,Urban,Tablet,Free,yes
18.0,29612.0,,,0.5,,Suburban,Tablet,Gold,no
40.0,68599.0,,,0.5,,Urban,Desktop,Gold,no
18.0,20000.0,,,0.5,,Suburban,Mobile,Free,no
66.0,82052.0,,,29.3,,Suburban,Mobile,Silver,yes
19.0,100646.0,,,2.13,,Suburban,Desktop,Free,no
18.0,20000.0,,,9.09,,Urban,Tablet,Silver,no
36.0,48195.0,,,2.16,,Suburban,Mobile,Silver,no
18.0,20000.0,,,7.77,,Urban,Mobile,Free,yes
38.0,76371.0,,,0.85,,Urban,Mobile,Gold,no
37.0,83807.0,,,12.86,,Urban,Mobile,Free,yes
29.0,21605.0,,,0.5,,Suburban,Desktop,Free,yes
18.0,158082.0,,,8.48,,Urban,Mobile,Free,yes
18.0,20000.0,,,0.5,,Urban,Mobile,Free,no
21.0,20000.0,,,6.49,,Urban,Mobile,Gold,no
56.0,148919.0,,,24.55,,Urban,Mobile,Gold,yes
40.0,78891.0,,,7.1,,Urban,Mobile,Silver,no
63.0,86125.0,,,9.54,,Suburban,Mobile,Gold,yes
23.0,108075.0,,,0.5,,Urban,Mobile,Gold,no
27.0,33280.0,,,0.79,,Urban,Mobile,Free,no
21.0,32597.0,,,3.15,,Urban,Mobile,Free,no
18.0,107986.0,,,0.96,,Urban,Mobile,Gold,no
32.0,102837.0,,,4.73,,Suburban,Mobile,Free,no
26.0,20000.0,,,0.5,,Rural,Mobile,Free,no
38.0,111050.0,,,7.2,,Urban,Desktop,Silver,no
34.0,24190.0,,,0.5,,Suburban,Desktop,Free,no
18.0,114892.0,,,7.29,,Urban,Desktop,Free,no
18.0,102680.0,,,0.5,,Suburban,Mobile,Silver,no
43.0,146619.0,,,31.99,,Urban,Mobile,Silver,yes
27.0,20000.0,,,1.35,,Urban,Mobile,Free,no
24.0,20000.0,,,0.51,,Suburban,Desktop,Free,yes
23.0,113363.0,,,5.11,,Urban,Desktop,Silver,no
33.0,20000.0,,,0.5,,Urban,Mobile,Free,no
18.0,96009.0,,,0.5,,Rural,Mobile,Free,no
34.0,45754.0,,,6.39,,Suburban,Mobile,Free,yes
18.0,108305.0,,,4.49,,Suburban,Mobile,Free,no
21.0,52425.0,,,6.1,,Suburban,Mobile,Free,no
30.0,71487.0,,,11.86,,Urban,Mobile,Free,no
36.0,65009.0,,,0.5,,Suburban,Desktop,Free,no
19.0,129669.0,,,7.56,,Urban,Mobile,Gold,no
58.0,70368.0,,,9.92,,Rural,Mobile,Free,yes
24.0,115863.0,,,6.46,,Rural,Mobile,Silver,no
31.0,43865.0,,,5.31,,Urban,Mobile,Free,no
30.0,20000.0,,,2.26,,Suburban,Mobile,Free,no
44.0,133761.0,,,7.58,,Suburban,Tablet,Free,no
18.0,20000.0,,,0.5,,Rural,Mobile,Free,no
28.0,29240.0,,,0.5,,Suburban,Desktop,Free,yes
18.0,20000.0,,,9.79,,Suburban,Mobile,Free,yes
25.0,20000.0,,,1.04,,Rural,Mobile,Free,no
44.0,139380.0,,,1.04,,Urban,Desktop,Free,yes
18.0,33376.0,,,6.17,,Rural,Desktop,Platinum,yes
21.0,41090.0,,,7.48,,Suburban,Desktop,Platinum,no
31.0,128865.0,,,27.23,,Suburban,Mobile,Silver,yes
20.0,25679.0,,,6.77,,Suburban,Mobile,Silver,no
26.0,30475.0,,,5.99,,Suburban,Mobile,Silver,no
43.0,146953.0,,,19.15,,Urban,Mobile,Free,yes
48.0,101949.0,,,14.39,,Suburban,Mobile,Free,yes
20.0,20000.0,,,0.5,,Suburban,Mobile,Silver,no
44.0,32119.0,,,0.5,,Urban,Mobile,Free,no
59.0,122636.0,,,32.36,,Suburban,Desktop,Free,yes
19.0,20000.0,,,3.22,,Suburban,Mobile,Silver,no
27.0,63122.0,,,9.83,,Urban,Mobile,Silver,no
32.0,39913.0,,,10.93,,Urban,Mobile,Gold,yes
23.0,85390.0,,,2.44,,Suburban,Mobile,Free,no
43.0,98808.0,,,5.12,,Suburban,Tablet,Silver,no
18.0,99329.0,,,0.5,,Rural,Mobile,Free,no
34.0,20000.0,,,0.5,,Urban,Mobile,Gold,no
28.0,55987.0,,,10.72,,Urban,Desktop,Free,no
34.0,81087.0,,,1.38,,Rural,Desktop,Silver,no
65.0,59574.0,,,24.0,,Rural,Mobile,Gold,yes
18.0,67076.0,,,12.96,,Suburban,Desktop,Gold,no
18.0,130252.0,,,2.87,,Suburban,Desktop,Free,no
18.0,88035.0,,,0.5,,Urban,Mobile,Free,no
34.0,44155.0,,,4.89,,Urban,Mobile,Free,no
31.0,87118.0,,,12.74,,Rural,Mobile,Free,no
18.0,139342.0,,,8.76,,Rural,Mobile,Silver,no
19.0,150661.0,,,15.34,,Urban,Mobile,Silver,no
18.0,20000.0,,,9.56,,Urban,Mobile,Free,yes
18.0,20000.0,,,4.82,,Urban,Desktop,Free,yes
51.0,70867.0,,,0.5,,Urban,Mobile,Free,no
18.0,20000.0,,,4.58,,Urban,Mobile,Silver,yes
18.0,20353.0,,,3.6,,Urban,Mobile,Free,no
25.0,79472.0,,,0.5,,Urban,Mobile,Free,no
54.0,121018.0,,,19.96,,Urban,Mobile,Free,yes
29.0,98141.0,,,2.81,,Urban,Mobile,Silver,no
23.0,109256.0,,,3.39,,Rural,Mobile,Free,no
22.0,33923.0,,,3.59,,Urban,Mobile,Free,no
36.0,102325.0,,,7.04,,Rural,Desktop,Silver,no
21.0,20000.0,,,0.5,,Suburban,Mobile,Free,no
28.0,138340.0,,,13.41,,Urban,Mobile,Free,no
18.0,21970.0,,,7.09,,Suburban,Desktop,Free,no
18.0,47770.0,,,0.5,,Suburban,Mobile,Silver,yes
32.0,89097.0,,,2.28,,Urban,Desktop,Free,no
24.0,20000.0,,,0.5,,Urban,Mobile,Free,no
24.0,58608.0,,,9.43,,Suburban,Mobile,Silver,no
18.0,122904.0,,,5.68,,Suburban,Mobile,Silver,no
18.0,65691.0,,,0.5,,Urban,Mobile,Silver,no
19.0,70132.0,,,0.5,,Suburban,Mobile,Free,no
18.0,112397.0,,,1.62,,Suburban,Mobile,Free,no
18.0,88638.0,,,0.58,,Urban,Mobile,Free,no
36.0,52031.0,,,22.45,,Rural,Desktop,Gold,yes
24.0,75002.0,,,0.98,,Urban,Desktop,Silver,no
35.0,92370.0,,,1.84,,Suburban,Mobile,Gold,no
21.0,129842.0,,,4.01,,Rural,Mobile,Free,no
65.0,85807.0,,,16.3,,Urban,Mobile,Silver,yes
24.0,33469.0,,,4.81,,Rural,Desktop,Silver,no
33.0,52853.0,,,8.73,,Suburban,Mobile,Silver,yes
37.0,94930.0,,,4.71,,Suburban,Mobile,Silver,no
29.0,35302.0,,,6.82,,Suburban,Desktop,Platinum,yes
25.0,73080.0,,,0.5,,Urban,Tablet,Silver,no
26.0,60791.0,,,11.71,,Suburban,Tablet,Gold,yes
18.0,55551.0,,,0.5,,Suburban,Mobile,Gold,no
54.0,124983.0,,,37.12,,Urban,Desktop,Gold,yes
35.0,165295.0,,,16.2,,Suburban,Mobile,Free,yes
20.0,39331.0,,,5.23,,Urban,Mobile,Free,no
24.0,94570.0,,,5.42,,Suburban,Desktop,Silver,no
35.0,50881.0,,,4.43,,Rural,Mobile,Free,no
18.0,130001.0,,,6.63,,Suburban,Mobile,Free,no
39.0,79238.0,,,10.02,,Suburban,Mobile,Free,yes
26.0,20000.0,,,0.5,,Suburban,Mobile,Gold,no
38.0,35095.0,,,3.69,,Suburban,Mobile,Free,yes
24.0,112623.0,,,6.47,,Rural,Mobile,Silver,no
18.0,142785.0,,,8.26,,Suburban,Mobile,Free,no
25.0,72796.0,,,0.5,,Urban,Mobile,Platinum,no
29.0,20000.0,,,0.5,,Urban,Desktop,Free,no
70.0,125241.0,,,9.27,,Suburban,Desktop,Gold,yes
30.0,20000.0,,,0.5,,Rural,Mobile,Silver,no
58.0,92915.0,,,10.76,,Suburban,Mobile,Silver,yes
33.0,30397.0,,,0.5,,Suburban,Desktop,Free,no
18.0,113606.0,,,3.48,,Suburban,Mobile,Free,no
18.0,105337.0,,,3.31,,Urban,Mobile,Gold,no
32.0,140144.0,,,15.73,,Rural,Mobile,Gold,yes
33.0,24777.0,,,12.34,,Suburban,Tablet,Free,yes
18.0,20000.0,,,3.75,,Suburban,Mobile,Silver,no
22.0,20000.0,,,0.5,,Rural,Desktop,Platinum,no
33.0,91199.0,,,0.5,,Urban,Mobile,Free,no
23.0,26560.0,,,3.61,,Suburban,Mobile,Silver,no
29.0,20351.0,,,0.5,,Rural,Desktop,Silver,no
52.0,117204.0,,,27.21,,Urban,Tablet,Gold,yes
22.0,31494.0,,,0.5,,Suburban,Mobile,Silver,yes
18.0,60516.0,,,15.67,,Urban,Tablet,Gold,no
70.0,82304.0,,,24.47,,Rural,Mobile,Silver,yes
45.0,20000.0,,,0.5,,Urban,Mobile,Free,no
22.0,25579.0,,,2.14,,Rural,Mobile,Free,yes
20.0,95264.0,,,0.5,,Urban,Tablet,Free,no
18.0,20000.0,,,2.5,,Suburban,Mobile,Free,no
35.0,84561.0,,,12.1,,Urban,Tablet,Silver,no
42.0,100274.0,,,4.58,,Urban,Mobile,Free,no
18.0,57269.0,,,7.87,,Suburban,Mobile,Platinum,no
18.0,20000.0,,,6.11,,Urban,Mobile,Silver,no
18.0,60606.0,,,11.83,,Suburban,Desktop,Silver,no
26.0,162685.0,,,14.08,,Urban,Tablet,Free,yes
36.0,115440.0,,,32.95,,Suburban,Mobile,Silver,yes
34.0,20000.0,,,0.5,,Urban,Mobile,Silver,no
67.0,97417.0,,,13.6,,Suburban,Mobile,Gold,yes
18.0,20000.0,,,2.24,,Urban,Mobile,Silver,no
31.0,82125.0,,,12.08,,Suburban,Mobile,Free,no
18.0,20000.0,,,0.5,,Urban,Desktop,Free,yes
25.0,20000.0,,,0.5,,Suburban,Mobile,Gold,no
52.0,67152.0,,,18.21,,Rural,Tablet,Free,yes
25.0,30379.0,,,5.71,,Suburban,Desktop,Platinum,yes
32.0,101425.0,,,1.31,,Urban,Mobile,Free,no
26.0,70495.0,,,12.48,,Suburban,Mobile,Silver,no
31.0,82016.0,,,2.26,,Suburban,Tablet,Gold,no
62.0,64232.0,,,20.68,,Urban,Mobile,Gold,no
23.0,117186.0,,,3.16,,Suburban,Mobile,Silver,no
18.0,142091.0,,,9.99,,Urban,Mobile,Gold,no
20.0,122062.0,,,8.83,,Suburban,Tablet,Gold,no
41.0,158648.0,,,12.89,,Urban,Mobile,Free,yes
37.0,88200.0,,,2.54,,Urban,Desktop,Silver,no
18.0,20000.0,,,0.5,,Suburban,Tablet,Free,no
64.0,113115.0,,,29.53,,Suburban,Desktop,Free,yes
18.0,100842.0,,,0.95,,Suburban,Mobile,Free,no
49.0,96519.0,,,29.17,,Suburban,Mobile,Free,yes
31.0,100396.0,,,4.19,,Suburban,Mobile,Platinum,no
18.0,20000.0,,,0.5,,Rural,Mobile,Free,no
24.0,133007.0,,,10.54,,Suburban,Desktop,Free,no
27.0,81016.0,,,0.5,,Suburban,Mobile,Silver,no
18.0,20000.0,,,0.5,,Suburban,Mobile,Free,no
26.0,37020.0,,,5.88,,Suburban,Desktop,Free,no
20.0,76542.0,,,0.5,,Rural,Mobile,Silver,no
31.0,28045.0,,,7.57,,Urban,Mobile,Free,yes
20.0,26007.0,,,5.99,,Suburban,Mobile,Free,no
38.0,88823.0,,,1.24,,Urban,Desktop,Free,no
25.0,118864.0,,,3.93,,Suburban,Mobile,Silver,no
23.0,20000.0,,,2.9,,Rural,Mobile,Gold,no
34.0,84648.0,,,0.5,,Rural,Mobile,Free,no
38.0,81470.0,,,3.05,,Urban,Desktop,Silver,no
25.0,112613.0,,,6.61,,Suburban,Tablet,Silver,no
18.0,128861.0,,,5.91,,Suburban,Mobile,Free,no
50.0,32725.0,,,1.23,,Suburban,Mobile,Silver,no
46.0,112339.0,,,8.98,,Suburban,Mobile,Free,yes
46.0,48175.0,,,0.5,,Urban,Mobile,Gold,no
18.0,20000.0,,,0.5,,Urban,Desktop,Silver,no
22.0,20000.0,,,7.76,,Rural,Mobile,Free,no
60.0,112953.0,,,21.21,,Urban,Mobile,Free,yes
25.0,20000.0,,,0.5,,Urban,Mobile,Free,no
32.0,20000.0,,,0.5,,Suburban,Mobile,Silver,no
19.0,82286.0,,,12.3,,Urban,Mobile,Free,no
32.0,20000.0,,,1.17,,Suburban,Tablet,Platinum,no
54.0,119659.0,,,32.46,,Rural,Desktop,Silver,yes
61.0,148542.0,,,30.25,,Suburban,Mobile,Gold,yes
27.0,20000.0,,,0.5,,Urban,Mobile,Free,no
56.0,120397.0,,,25.41,,Rural,Tablet,Free,yes
69.0,39208.0,,,28.51,,Suburban,Mobile,Free,yes
26.0,126850.0,,,8.56,,Suburban,Mobile,Silver,no
28.0,20000.0,,,0.5,,Suburban,Mobile,Free,no
27.0,20000.0,,,0.5,,Suburban,Mobile,Free,no
20.0,20000.0,,,4.91,,Rural,Mobile,Gold,no
34.0,97281.0,,,24.85,,Suburban,Mobile,Gold,yes
70.0,79488.0,,,33.28,,Suburban,Mobile,Silver,yes
24.0,99720.0,,,0.5,,Rural,Desktop,Silver,no
47.0,75458.0,,,8.04,,Rural,Mobile,Free,yes
28.0,20000.0,,,1.53,,Urban,Mobile,Gold,no
18.0,20000.0,,,3.6,,Suburban,Desktop,Gold,no
18.0,120336.0,,,6.55,,Suburban,Mobile,Silver,no
21.0,65446.0,,,10.59,,Urban,Desktop,Silver,no
45.0,70488.0,,,0.5,,Urban,Tablet,Free,no
47.0,158359.0,,,28.23,,Suburban,Mobile,Free,yes
37.0,73007.0,,,3.13,,Urban,Mobile,Free,no
18.0,51780.0,,,11.18,,Suburban,Mobile,Free,no
30.0,37946.0,,,4.94,,Suburban,Mobile,Silver,no
18.0,109405.0,,,1.58,,Suburban,Mobile,Silver,no
30.0,74011.0,,,0.5,,Urban,Mobile,Gold,no
57.0,81375.0,,,7.1,,Suburban,Mobile,Free,no
32.0,38677.0,,,4.58,,Urban,Mobile,Silver,no
20.0,20000.0,,,0.5,,Suburban,Mobile,Free,no
70.0,57338.0,,,25.52,,Urban,Mobile,Silver,yes
37.0,127867.0,,,3.76,,Suburban,Tablet,Gold,yes
19.0,72082.0,,,0.5,,Urban,Desktop,Silver,no
38.0,75431.0,,,8.17,,Rural,Desktop,Gold,no
40.0,41120.0,,,1.89,,Urban,Desktop,Silver,no
25.0,125767.0,,,6.91,,Suburban,Desktop,Free,no
46.0,92743.0,,,21.48,,Rural,Mobile,Free,yes
18.0,20000.0,,,0.5,,Suburban,Mobile,Silver,yes
23.0,72511.0,,,0.5,,Rural,Mobile,Free,no
43.0,163919.0,,,28.98,,Rural,Mobile,Gold,yes
29.0,45721.0,,,4.94,,Suburban,Mobile,Free,no
18.0,71105.0,,,11.17,,Suburban,Mobile,Silver,no
24.0,51901.0,,,9.34,,Suburban,Mobile,Free,yes
58.0,70733.0,,,17.22,,Urban,Mobile,Free,yes
41.0,70146.0,,,0.5,,Suburban,Mobile,Silver,no
20.0,102737.0,,,5.28,,Rural,Desktop,Free,no
18.0,117051.0,,,5.4,,Rural,Mobile,Free,no
32.0,78902.0,,,0.5,,Rural,Desktop,Silver,no
22.0,26711.0,,,9.93,,Urban,Mobile,Platinum,yes
53.0,103359.0,,,28.93,,Suburban,Mobile,Free,yes
68.0,90766.0,,,14.8,,Urban,Mobile,Free,yes
64.0,97236.0,,,23.21,,Rural,Mobile,Free,yes
18.0,127234.0,,,8.69,,Urban,Desktop,Free,no
36.0,38570.0,,,1.94,,Suburban,Desktop,Silver,yes
18.0,20000.0,,,8.26,,Suburban,Mobile,Gold,no
32.0,89339.0,,,5.08,,Urban,Mobile,Silver,no
18.0,20000.0,,,4.9,,Rural,Mobile,Free,no
34.0,88941.0,,,3.2,,Rural,Mobile,Silver,no
26.0,115808.0,,,5.13,,Suburban,Mobile,Free,no
44.0,57895.0,,,18.5,,Urban,Tablet,Silver,yes
18.0,107958.0,,,2.82,,Suburban,Mobile,Free,no
19.0,144328.0,,,8.94,,Suburban,Mobile,Silver,no
57.0,98008.0,,,16.3,,Urban,Desktop,Silver,yes
24.0,47457.0,,,10.01,,Suburban,Mobile,Free,no
18.0,20000.0,,,5.58,,Suburban,Mobile,Gold,no
63.0,67299.0,,,5.13,,Urban,Tablet,Free,yes
70.0,102080.0,,,36.3,,Urban,Desktop,Platinum,yes
38.0,82105.0,,,0.76,,Suburban,Mobile,Gold,no
31.0,86843.0,,,3.16,,Urban,Mobile,Free,no
18.0,20000.0,,,0.5,,Urban,Desktop,Gold,no
